system_size,time,n,mean,plus_sd,minus_sd
large,0,500,NA,NA,NA
large,3.5902701983494417e-4,501,NA,NA,NA
large,0.006797168538175405,502,NA,NA,NA
large,0.008175104384776841,503,NA,NA,NA
large,0.01992224126419683,504,NA,NA,NA
large,0.020686180991091974,505,NA,NA,NA
large,0.02222241561396135,504,NA,NA,NA
large,0.02418554626855816,505,NA,NA,NA
large,0.025793730312632653,506,NA,NA,NA
large,0.026416443325468324,507,NA,NA,NA
large,0.029907749699406155,508,NA,NA,NA
large,0.03086068734621554,507,NA,NA,NA
large,0.038780009302282745,508,NA,NA,NA
large,0.039348225562862826,509,NA,NA,NA
large,0.042118511549421984,510,NA,NA,NA
large,0.042745518483628724,511,NA,NA,NA
large,0.05026575592691107,512,NA,NA,NA
large,0.052342086753093,513,NA,NA,NA
large,0.05482345595462939,514,NA,NA,NA
large,0.05682788794522919,515,NA,NA,NA
large,0.059287895685494224,516,NA,NA,NA
large,0.06589270343150967,517,NA,NA,NA
large,0.06809766786099339,516,NA,NA,NA
large,0.0688124514404669,517,NA,NA,NA
large,0.07401351271949193,516,NA,NA,NA
large,0.07547443454233144,517,NA,NA,NA
large,0.07714825403362478,518,NA,NA,NA
large,0.07902131350017061,519,NA,NA,NA
large,0.08064994092446956,520,NA,NA,NA
large,0.08388136881631872,521,NA,NA,NA
large,0.08627084192947676,520,NA,NA,NA
large,0.08846789207117756,521,NA,NA,NA
large,0.09436674252522184,520,NA,NA,NA
large,0.09632983033464906,521,NA,NA,NA
large,0.10132357153315641,522,NA,NA,NA
large,0.10681532557563042,521,NA,NA,NA
large,0.10760177042570529,522,NA,NA,NA
large,0.1113060635640059,523,NA,NA,NA
large,0.11161031020248602,522,NA,NA,NA
large,0.11176178566045758,521,NA,NA,NA
large,0.11634242526094968,522,NA,NA,NA
large,0.11711133776728531,523,NA,NA,NA
large,0.11794581786723068,522,NA,NA,NA
large,0.12438627127256056,523,NA,NA,NA
large,0.12567033422580093,524,NA,NA,NA
large,0.1279517926631749,525,NA,NA,NA
large,0.1317305779672638,526,NA,NA,NA
large,0.13854867932568,525,NA,NA,NA
large,0.1421514888226395,526,NA,NA,NA
large,0.14428535702945536,527,NA,NA,NA
large,0.1465551799867355,528,NA,NA,NA
large,0.1554426863446425,529,NA,NA,NA
large,0.15964423462993343,528,NA,NA,NA
large,0.16057441467866193,529,NA,NA,NA
large,0.1637943556523499,530,NA,NA,NA
large,0.16467183747145517,531,NA,NA,NA
large,0.16739774610443903,532,NA,NA,NA
large,0.17007506676327397,531,NA,NA,NA
large,0.17327444231382988,530,NA,NA,NA
large,0.1745650236259307,531,NA,NA,NA
large,0.17676672445571237,532,NA,NA,NA
large,0.17736211628380041,531,NA,NA,NA
large,0.17756298091777784,530,NA,NA,NA
large,0.18608186502178733,531,NA,NA,NA
large,0.18644790524750104,530,NA,NA,NA
