t,x,autocorrelation,variance,tip_time
1,176e3,NA,NA,1800
2,176e3,NA,NA,1800
3,175973.2932185665,NA,NA,1800
4,175946.58238702384,NA,NA,1800
5,175919.8715554834,NA,NA,1800
6,175893.1607251742,NA,NA,1800
7,175866.44989609727,NA,NA,1800
8,175839.73906825326,NA,NA,1800
9,175813.02824164272,NA,NA,1800
10,175786.31741626616,NA,NA,1800
11,175759.6065921242,NA,NA,1800
12,175732.89576921737,NA,NA,1800
13,175706.18494754622,NA,NA,1800
14,175679.47412711135,NA,NA,1800
15,175652.76330791326,NA,NA,1800
16,175626.05248995262,NA,NA,1800
17,175599.3416732299,NA,NA,1800
18,175572.6308577457,NA,NA,1800
19,175545.9200435006,NA,NA,1800
20,175519.20923049515,NA,NA,1800
21,175492.4984187299,NA,NA,1800
22,175465.7876082054,NA,NA,1800
23,175439.07679892227,NA,NA,1800
24,175412.36599088108,NA,NA,1800
25,175385.65518408234,NA,NA,1800
26,175358.94437852668,NA,NA,1800
27,175332.2335742146,NA,NA,1800
28,175305.5227711467,NA,NA,1800
29,175278.81196932355,NA,NA,1800
30,175252.10116874575,NA,NA,1800
31,175225.39036941386,NA,NA,1800
32,175198.6795713284,NA,NA,1800
33,175171.96877448994,NA,NA,1800
34,175145.25797889908,NA,NA,1800
35,175118.5471845564,NA,NA,1800
36,175091.83639146248,NA,NA,1800
37,175065.12559961787,NA,NA,1800
38,175038.41480902315,NA,NA,1800
39,175011.70401967884,NA,NA,1800
40,174984.99323158554,NA,NA,1800
41,174958.28244474393,NA,NA,1800
42,174931.57165915443,NA,NA,1800
43,174904.86087481768,NA,NA,1800
44,174878.15009173425,NA,NA,1800
45,174851.43930990473,NA,NA,1800
46,174824.72852932964,NA,NA,1800
47,174798.01775000963,NA,NA,1800
48,174771.30697194522,NA,NA,1800
49,174744.59619513698,NA,NA,1800
50,174717.88541958554,NA,599793.5466705539,1800
51,174691.17464529144,NA,600499.9270011092,1800
52,174664.46387225523,NA,600499.978690575,1800
53,174637.75310047757,NA,600499.9221075773,1800
54,174611.04232995893,NA,600499.8654657737,1800
55,174584.33156069994,NA,600499.8087979752,1800
56,174557.62079270123,NA,600499.752104179,1800
57,174530.91002596327,NA,600499.6953843718,1800
58,174504.19926048673,NA,600499.6386385367,1800
59,174477.48849627216,NA,600499.581866657,1800
60,174450.7777333201,NA,600499.5250687175,1800
61,174424.0669716312,NA,600499.468244702,1800
62,174397.356211206,NA,600499.4113945931,1800
63,174370.64545204508,NA,600499.3545183775,1800
64,174343.934694149,NA,600499.2976160372,1800
65,174317.22393751837,NA,600499.2406875577,1800
66,174290.51318215378,NA,600499.1837329231,1800
67,174263.8024280558,NA,600499.1267521165,1800
68,174237.091675225,NA,600499.0697451214,1800
69,174210.38092366196,NA,600499.012711923,1800
70,174183.6701733673,NA,600498.9556525035,1800
71,174156.9594243416,NA,600498.8985668484,1800
72,174130.24867658538,NA,600498.8414549413,1800
73,174103.5379300993,NA,600498.7843167671,1800
74,174076.82718488385,NA,600498.7271523068,1800
75,174050.11644093972,NA,600498.6699615474,1800
76,174023.40569826745,NA,600498.61274447,1800
77,173996.6949568676,NA,600498.5555010613,1800
78,173969.98421674082,NA,600498.4982313033,1800
79,173943.27347788765,NA,600498.4409351812,1800
80,173916.56274030867,NA,600498.3836126765,1800
81,173889.85200400447,NA,600498.3262637742,1800
82,173863.14126897563,NA,600498.2688884576,1800
83,173836.43053522278,NA,600498.2114867114,1800
84,173809.7198027465,NA,600498.1540585198,1800
85,173783.00907154733,NA,600498.0966038656,1800
86,173756.29834162592,NA,600498.0391227333,1800
87,173729.58761298278,NA,600497.981615106,1800
88,173702.87688561858,NA,600497.9240809663,1800
89,173676.16615953387,NA,600497.8665202993,1800
90,173649.45543472926,NA,600497.8089330896,1800
91,173622.7447112053,NA,600497.7513193192,1800
92,173596.03398896262,NA,600497.6936789725,1800
93,173569.32326800178,NA,600497.636012033,1800
94,173542.6125483234,NA,600497.5783184845,1800
95,173515.90182992807,NA,600497.5205983099,1800
96,173489.1911128164,NA,600497.4628514944,1800
97,173462.48039698892,NA,600497.4050780197,1800
98,173435.7696824463,NA,600497.3472778716,1800
99,173409.05896918903,NA,600497.2894510315,1800
100,173382.3482572178,2.9706708595850397e-4,600497.2315974848,1800
101,173355.63754653317,2.9700585987307035e-4,600497.173717214,1800
102,173328.92683713572,2.9700583956146796e-4,600497.1158102028,1800
103,173302.21612902608,2.9700582852914024e-4,600497.057876434,1800
104,173275.50542220482,2.9700581749283133e-4,600496.999915892,1800
105,173248.79471667254,2.970058064497368e-4,600496.9419285618,1800
106,173222.08401242984,2.9700579539983875e-4,600496.8839144239,1800
107,173195.3733094773,2.9700578434312607e-4,600496.8258734647,1800
108,173168.66260781552,2.9700577327958097e-4,600496.7678056662,1800
109,173141.95190744512,2.970057622092118e-4,600496.7097110096,1800
110,173115.24120836667,2.9700575113203296e-4,600496.6515894816,1800
111,173088.53051058078,2.97005740048027e-4,600496.5934410642,1800
112,173061.81981408808,2.97005728957189e-4,600496.5352657415,1800
113,173035.10911888912,2.970057178594949e-4,600496.4770634962,1800
114,173008.3984249845,2.970057067549465e-4,600496.4188343127,1800
115,172981.68773237485,2.970056956435584e-4,600496.3605781737,1800
116,172954.97704106072,2.970056845253064e-4,600496.3022950618,1800
117,172928.26635104275,2.970056734001925e-4,600496.2439849616,1800
118,172901.5556623216,2.970056622682247e-4,600496.1856478552,1800
119,172874.84497489771,2.970056511293661e-4,600496.1272837281,1800
120,172848.13428877186,2.970056399836119e-4,600496.0688925622,1800
121,172821.4236039445,2.9700562883096395e-4,600496.0104743401,1800
122,172794.71292041635,2.970056176714111e-4,600495.9520290461,1800
123,172768.00223818794,2.9700560650496163e-4,600495.8935566625,1800
124,172741.29155725992,2.970055953316302e-4,600495.835057174,1800
125,172714.5808776328,2.970055841514059e-4,600495.7765305631,1800
126,172687.8701993073,2.970055729642644e-4,600495.7179768125,1800
127,172661.15952228394,2.9700556177020125e-4,600495.6593959066,1800
128,172634.44884656338,2.970055505692118e-4,600495.600787827,1800
129,172607.7381721462,2.970055393612848e-4,600495.5421525581,1800
130,172581.02749903302,2.9700552814642225e-4,600495.4834900833,1800
131,172554.3168272244,2.9700551692460645e-4,600495.4248003854,1800
132,172527.606156721,2.97005505695833e-4,600495.3660834477,1800
133,172500.8954875234,2.9700549446011644e-4,600495.3073392527,1800
134,172474.18481963218,2.970054832174458e-4,600495.2485677847,1800
135,172447.474153048,2.9700547196782304e-4,600495.1897690252,1800
136,172420.76348777144,2.970054607112177e-4,600495.130942958,1800
137,172394.0528238031,2.97005449447638e-4,600495.0720895671,1800
138,172367.3421611436,2.9700543817709886e-4,600495.0132088348,1800
139,172340.63149979358,2.970054268995827e-4,600494.9543007441,1800
140,172313.92083975358,2.970054156150657e-4,600494.8953652779,1800
141,172287.21018102422,2.970054043235432e-4,600494.83640242,1800
142,172260.49952360615,2.9700539302503014e-4,600494.7774121526,1800
143,172233.7888675,2.970053817195154e-4,600494.718394459,1800
144,172207.07821270628,2.9700537040698805e-4,600494.6593493233,1800
145,172180.3675592257,2.970053590874435e-4,600494.6002767276,1800
146,172153.65690705882,2.970053477608773e-4,600494.5411766542,1800
147,172126.94625620625,2.970053364272785e-4,600494.4820490874,1800
148,172100.23560666863,2.9700532508665533e-4,600494.4228940079,1800
149,172073.52495844656,2.970053137389971e-4,600494.3637114012,1800
150,172046.81431154063,2.97005302384312e-4,600494.3045012485,1800
151,172020.10366595146,2.9700529102260216e-4,600494.2452635334,1800
152,171993.39302167975,2.970052796538371e-4,600494.1859982397,1800
153,171966.68237872596,2.970052682779996e-4,600494.1267053481,1800
154,171939.97173709082,2.9700525689507854e-4,600494.0673848431,1800
155,171913.26109677486,2.970052455051018e-4,600494.0080367065,1800
156,171886.5504577788,2.970052341080586e-4,600493.9486609213,1800
157,171859.83982010314,2.9700522270392494e-4,600493.8892574713,1800
158,171833.12918374856,2.9700521129269653e-4,600493.8298263391,1800
159,171806.41854871574,2.9700519987437517e-4,600493.7703675061,1800
160,171779.70791500516,2.970051884489632e-4,600493.7108809579,1800
161,171752.9972826175,2.970051770164559e-4,600493.6513666741,1800
162,171726.28665155335,2.9700516557684914e-4,600493.5918246398,1800
163,171699.57602181338,2.970051541301188e-4,600493.5322548362,1800
164,171672.86539339818,2.970051426762542e-4,600493.4726572465,1800
165,171646.15476630838,2.9700513121525733e-4,600493.4130318536,1800
166,171619.4441405446,2.970051197471498e-4,600493.3533786417,1800
167,171592.7335161074,2.970051082719465e-4,600493.2936975919,1800
168,171566.02289299748,2.970050967896043e-4,600493.2339886855,1800
169,171539.3122712154,2.9700508530009943e-4,600493.174251909,1800
170,171512.6016507618,2.970050738034599e-4,600493.1144872411,1800
171,171485.89103163732,2.970050622996813e-4,600493.0546946669,1800
172,171459.18041384255,2.9700505078873333e-4,600492.9948741677,1800
173,171432.46979737814,2.970050392705924e-4,600492.9350257267,1800
