t,x,autocorrelation,variance,tip_time
1,176e3,NA,NA,1800
2,175999.6485422501,NA,NA,1800
3,175982.13427133046,NA,NA,1800
4,175953.5990681944,NA,NA,1800
5,175935.87391165338,NA,NA,1800
6,175895.46066563463,NA,NA,1800
7,175740.92578560178,NA,NA,1800
8,175856.85003331798,NA,NA,1800
9,175843.69751408396,NA,NA,1800
10,175827.63355607452,NA,NA,1800
11,175802.73949591117,NA,NA,1800
12,175682.6569959844,NA,NA,1800
13,175747.51420041625,NA,NA,1800
14,175576.0411071436,NA,NA,1800
15,175512.7637201993,NA,NA,1800
16,175645.99675602748,NA,NA,1800
17,175648.30726027314,NA,NA,1800
18,175567.22218430453,NA,NA,1800
19,175465.03604228472,NA,NA,1800
20,175527.36408132312,NA,NA,1800
21,175471.1156502324,NA,NA,1800
22,175567.5618233117,NA,NA,1800
23,175493.4377765985,NA,NA,1800
24,175338.64518131022,NA,NA,1800
25,175328.1904554161,NA,NA,1800
26,175482.8648032831,NA,NA,1800
27,175328.55573141217,NA,NA,1800
28,175344.642973753,NA,NA,1800
29,175466.38072863265,NA,NA,1800
30,175413.54028626392,NA,NA,1800
31,175349.53614847464,NA,NA,1800
32,175431.60791402461,NA,NA,1800
33,175350.82041760313,NA,NA,1800
34,175029.1234432891,NA,NA,1800
35,175093.3852998757,NA,NA,1800
36,175104.7307758883,NA,NA,1800
37,175083.09281481447,NA,NA,1800
38,175108.44023562787,NA,NA,1800
39,174780.03434696633,NA,NA,1800
40,175114.59691386402,NA,NA,1800
41,175005.93576350732,NA,NA,1800
42,174835.78395164938,NA,NA,1800
43,174951.61482668162,NA,NA,1800
44,175164.6989265805,NA,NA,1800
45,174500.65993307994,NA,NA,1800
46,174686.76712831346,NA,NA,1800
47,174546.53760499455,NA,NA,1800
48,174495.819984191,NA,NA,1800
49,174288.83346662179,NA,NA,1800
50,174820.7632715796,NA,597875.3440900934,1800
51,174722.83961750302,NA,584126.3107565847,1800
52,174504.9029794073,NA,579175.8107650456,1800
53,174502.41304352324,NA,592221.9123611466,1800
54,174548.4445206373,NA,587876.4652340721,1800
55,174230.90057031804,NA,592277.9093435594,1800
56,174672.52399387013,NA,592899.4694285268,1800
57,174536.28180110292,NA,588240.2794026787,1800
58,174367.71128997815,NA,589411.4165229343,1800
59,174434.7156018635,NA,578462.2205293265,1800
60,174728.3030081853,NA,566559.3072003238,1800
61,174112.04811606734,NA,578381.2866943274,1800
62,174280.95395026242,NA,571559.1857187576,1800
63,174789.60459217435,NA,557072.7215599432,1800
64,174166.6771873353,NA,603810.614342653,1800
65,174408.70490465392,NA,597400.0012207652,1800
66,174150.72231122464,NA,589987.3430605362,1800
67,174549.23986302078,NA,582157.2536583833,1800
68,174659.62343647145,NA,569206.1605545543,1800
69,174199.65646666224,NA,592622.7297653365,1800
70,173989.73547682716,NA,598421.230699163,1800
71,174289.2553630992,NA,605344.3712643669,1800
72,174208.5969515019,NA,671084.1449327262,1800
73,174433.9748787294,NA,662320.973886,1800
74,173981.90145472702,NA,651339.1306129752,1800
75,174155.33039572614,NA,642200.2365714496,1800
76,174185.62280914554,NA,630658.4964940884,1800
77,173846.2247226605,NA,641722.8669573232,1800
78,174075.2322739712,NA,631934.0313172671,1800
79,174186.35928545624,NA,650787.5445191088,1800
80,173980.29611835603,NA,681504.5506501378,1800
81,173724.8402981781,NA,668862.831117317,1800
82,173681.63716748392,NA,664939.2134556463,1800
83,173768.38740210925,NA,655146.7374191935,1800
84,174041.6372666593,NA,652454.7284815873,1800
85,173702.50580352824,NA,655779.8678637282,1800
86,173902.07804184614,NA,642222.2014122078,1800
87,173165.0309595734,NA,654257.056021934,1800
88,173020.34837838903,NA,644147.5928417376,1800
89,173868.88411130465,NA,663427.9907841597,1800
90,173616.1505954884,NA,684224.560138632,1800
91,173619.3460505465,NA,670241.0848841558,1800
92,173515.48259464395,NA,679933.5370495748,1800
93,174137.60876371438,NA,679498.1406108618,1800
94,173821.24520623303,NA,665821.1782356879,1800
95,173978.6397033126,NA,686019.2595268536,1800
96,174007.34769295237,NA,688920.781469285,1800
97,173797.87914598308,NA,713912.7764613793,1800
98,174138.98796577062,NA,749586.409547068,1800
99,173500.23358252257,NA,780708.2337115699,1800
100,173050.21200541654,-0.006746793727733014,785367.8271370897,1800
101,174167.3113560578,-0.005862723962349552,811636.8607710748,1800
102,173585.49646350142,-0.004130051892086794,827378.5948364317,1800
103,172923.05996025042,-0.006328108071826204,818520.5211473025,1800
104,173493.47999620414,-0.005028131102737488,817064.8435691472,1800
105,173128.4494974007,-0.00549569919243595,828595.6086240257,1800
106,173246.27989879937,-0.004860510090457135,826669.2730943941,1800
107,173590.5487607922,-0.005649729264841265,867148.4465075913,1800
108,173168.606981145,-0.0030388342329038666,885052.7231852623,1800
109,173676.5080088212,-0.004958466492701382,875848.393115449,1800
110,173704.52555556508,-7.107183274182232e-4,855709.6085047685,1800
111,172740.35661055817,0.00819548583243497,847154.781342286,1800
112,173499.5293627338,0.016459284647387943,836583.7790633229,1800
113,173833.71369311883,0.023155450813894286,813942.3792616136,1800
114,171930.8583674831,0.02094972473499758,845426.0549657915,1800
115,173526.74333919646,0.02291798641472531,860977.9144323814,1800
116,173350.88632865882,0.02097365571325005,854180.7837635486,1800
117,173314.72691961154,0.02376745363872841,843032.7665174279,1800
118,173713.37274472893,0.0216018919531085,843024.05824904365,1800
119,172333.74222478084,0.0223694599032676,857868.921327303,1800
120,172746.2267783099,0.021082903144086534,856087.7773820753,1800
121,172705.5841175914,0.020381007677067284,867344.7645943704,1800
122,171271.44359354748,0.019015078931739846,856608.7519948918,1800
123,173167.1978351639,0.0217580515370054,839001.2057868411,1800
124,173498.06396673087,0.02622100189797739,830525.2734650477,1800
125,173332.92445742004,0.027085712793025785,831579.1866878581,1800
126,173177.41713475066,0.026211690011269977,864287.5386859559,1800
127,172408.70382563732,0.030467632083567085,894443.7490173598,1800
128,173160.39697847803,0.03063950949688127,897516.9978794829,1800
129,172000.01833104526,0.030464438415388193,887699.7411682894,1800
130,171700.51971226837,0.030808447721585704,887242.7379300424,1800
131,173073.5151575452,0.032142170086015394,878195.5964226349,1800
132,172523.28439006125,0.03520405806414931,877163.2548464331,1800
133,172795.2166120688,0.026998443097052887,983621.4373409325,1800
134,172809.91231425854,0.02976705624541726,987960.3536918941,1800
135,172452.31377273207,0.03116486382585709,1030685.7681287637,1800
136,173240.5620536614,0.04171345519962439,1099529.8938473435,1800
137,172094.94710845395,0.032171432143092475,1097947.718360773,1800
138,172861.3695023524,0.02960119682320748,1102508.7657539179,1800
139,172006.0706241797,0.03034485086771166,1108965.3950182146,1800
140,171695.50915060565,0.03080473357314055,1122279.8713193596,1800
141,173066.5787213776,0.03046093665767493,1123309.0956824988,1800
142,172122.70339002484,0.03221595906169907,1109352.9061514132,1800
143,172323.5388695285,0.03397146904291677,1096016.2712537814,1800
144,172561.9774559817,0.0323223872909974,1088033.403128494,1800
145,171888.21544375748,0.028953172723602698,1124729.7891642607,1800
146,172297.29135100427,0.021349635011739296,1099971.1355651869,1800
147,171650.5298426901,0.01050753808992403,1198973.0110523256,1800
148,171366.6960241643,-0.003539173309507836,1162606.3013274863,1800
149,171527.6018582062,-0.007278676643509857,1186599.6815137677,1800
150,171896.87974521666,-0.009831552907957746,1183398.295264248,1800
151,171324.15810299022,-0.009702378508130039,1189436.9858142093,1800
152,171691.2740993795,-0.012007791117681361,1185845.3037750123,1800
153,172683.43592522974,-0.01082485793537975,1194802.123244603,1800
154,172174.05388413064,-0.00956220288672699,1184451.6296105725,1800
155,171895.0870363857,-0.010767911866181814,1220088.0132775956,1800
156,171962.0754256747,-0.005199094942459517,1277226.3176249405,1800
157,170870.883305442,-0.008340186213724406,1257970.1026467248,1800
158,171457.86954168946,-0.006630968461500932,1247480.0911911828,1800
